,Unnamed: 0,c/a,entropy,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean NsValence,MagpieData mean NpValence,MagpieData mean NfValence,MagpieData mean NValence,MagpieData mean NpUnfilled,MagpieData mean NdUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData mean GSbandgap,MagpieData mean GSmagmom,MagpieData mean BoilingT,MagpieData avg_dev BoilingT,MagpieData mean Density,MagpieData avg_dev Density,MagpieData mean FirstIonizationEnergy,MagpieData avg_dev FirstIonizationEnergy,MagpieData mean HeatCapacityMolar,PymatgenData mean atomic_radius,avg_dev/mean atomic_radius
155,155,1.34,8.684859654,61.45286375,10.73571305,1600.445,266.4646875,1.7996875,0.187265625,2,0.25,0,9.0625,0.5,2.875,3.375,1.375,12.38956358,0.1405,0.297813645,2872.15625,403.6171875,8011.1875,896.8125,7.648034375,0.225766602,25.70146875,1.3578125,0.036032796
156,156,1.4,8.820806063,58.11851063,8.148825547,1704.13,288.72875,1.818125,0.20109375,2,0.25,0,8.75,0.5,2.875,3.375,1.375,11.52565733,0.281,0.297813645,2916.6875,442.2265625,7853.375,1054.625,7.77042125,0.436234844,25.1241875,1.334375,0.05942623
157,157,1.42,8.684859654,54.7841575,8.020023281,1807.815,377.8471875,1.8365625,0.214921875,2,0.25,0,8.4375,0.5,2.875,3.375,1.375,10.66175108,0.4215,0.297813645,2961.21875,475.8027344,7695.5625,1212.4375,7.892808125,0.631404727,24.54690625,1.3109375,0.08738081
158,158,1.44,8.100452855,51.44980438,9.859776094,1911.5,477.875,1.855,0.22875,2,0.25,0,8.125,0.5,2.875,3.375,1.375,9.797844828,0.562,0.297813645,3005.75,503.8125,7537.75,1370.25,8.015195,0.81127625,23.969625,1.2875,0.11407767
159,159,1.199,11.03569485,60.215101,4.1362495,1374.2205,430.16925,1.798,0.124,1.95,0.2,0,9.85,1,2.3,3.35,1.485,12.10314655,0,0.345428705,2832.6,391.54,7947.9,1056.51,7.2766447,0.51093748,25.98,1.3525,0.017560074
160,160,1.193,11.38476676,60.22417055,4.131714725,1377.1405,431.62925,1.8008,0.120384,1.95,0.2,0,9.86,1,2.29,3.34,1.474,12.10557069,0,0.366532232,2840.6,388.608,7951.94,1052.066,7.2813285,0.512811,25.9678,1.3525,0.017560074
161,161,1.186,11.61511699,60.2332401,4.12717995,1380.0605,433.08925,1.8036,0.116656,1.95,0.2,0,9.87,1,2.28,3.33,1.463,12.10799483,0,0.387635759,2848.6,385.356,7955.98,1047.622,7.2860123,0.51468452,25.9556,1.3525,0.017560074
162,162,1.182,11.94954869,60.2513792,4.1181104,1385.9005,436.00925,1.8092,0.108864,1.95,0.2,0,9.89,1,2.26,3.31,1.441,12.1128431,0,0.429842812,2864.6,377.892,7964.06,1038.734,7.2953799,0.51843156,25.9312,1.3525,0.017560074
163,163,1.182,12.07578128,60.26044875,4.113575625,1388.8205,437.46925,1.812,0.1056,1.95,0.2,0,9.9,1,2.25,3.3,1.43,12.11526724,0,0.450946339,2872.6,373.68,7968.1,1034.29,7.3000637,0.52030508,25.919,1.3525,0.017560074
164,164,1.18,12.18111448,60.2695183,4.10904085,1391.7405,438.92925,1.8148,0.102544,1.95,0.2,0,9.91,1,2.24,3.29,1.419,12.11769138,0,0.472049866,2880.6,369.148,7972.14,1029.846,7.3047475,0.5221786,25.9068,1.3525,0.017560074
