,formula,c/a,composition,entropy,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,avg_dev/mean CovalentRadius,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mean BoilingT,MagpieData avg_dev BoilingT,MagpieData mean Density,MagpieData avg_dev Density,MagpieData mean FirstIonizationEnergy,MagpieData avg_dev FirstIonizationEnergy,MagpieData mean HeatCapacityMolar,MagpieData avg_dev HeatCapacityMolar,MagpieData mean HeatFusion,MagpieData avg_dev HeatFusion,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,PymatgenData mean atomic_radius,PymatgenData avg_dev atomic_radius,avg_dev/mean atomic_radius,PymatgenData mean average_ionic_radius,PymatgenData avg_dev average_ionic_radius,avg_dev/mean average_ionic_radius
51,Ni8Mn4Tc4,1.386061201,Ni8 Mn4 Tc4,8.644238489,31,6,56.75,4.25,67.58121125,15.20939437,1851.25,289.375,8.5,1.5,4.25,0.375,133.5,9.5,0.071161049,1.8175,0.13375,2,0,0,0,6.5,1.5,0,0,8.5,1.5,0,0,0,0,3.5,1.5,0,0,3.5,1.5,11.35314655,1.465926724,0,0,0.29777488,0.29761982,3311,613.5,9196.5,1151.75,7.498405,0.141395,,,20.29,6.5,215.25,10.625,1.3625,0.01875,0.013761468,0.7175,0.034583333,0.048199767
52,Ni8Mn4Ga3Fe1,1.303454124,Ni8 Mn4 Ga3 Fe1,9.813052087,27.6875,1.5546875,60.8125,5.1328125,59.64458625,3.779405156,1413.733125,416.5586719,9.6875,1.5546875,4,0,127.875,6.078125,0.047531769,1.79625,0.123125,2,0,0.1875,0.3046875,7.5,1.4375,0,0,9.6875,1.5546875,0,0,0.9375,1.5234375,2.5,1.4375,0,0,3.4375,1.4375,11.9883028,2.575948949,0,0,0.429691305,0.375824832,2836.8125,386.3359375,7920.625,987.375,7.297173938,0.486702352,26.064375,0.1334375,13.8778125,3.6021875,193.0625,48.3984375,1.35625,0.02734375,0.02016129,0.727864583,0.039765625,0.054633274
53,Ni8Mn4Ga2Fe2,1.343612995,Ni8 Mn4 Ga2 Fe2,10.0849449,27.375,1.53125,59.625,4.96875,58.77721125,2.736447187,1507.98875,301.2696875,9.375,1.53125,4,0,128.5,6.125,0.04766537,1.7975,0.12375,2,0,0.125,0.21875,7.25,1.4375,0,0,9.375,1.53125,0,0,0.625,1.09375,2.75,1.4375,0,0,3.375,1.375,11.48033405,1.844291487,0,0,0.56160773,0.421050737,2877.875,372.15625,8043.75,864.25,7.416117625,0.354204156,26.00625,0.2265625,14.391875,3.088125,203.375,34.84375,1.3625,0.028125,0.020642202,0.733645833,0.04265625,0.058142837
54,Ni8Mn4Ga1Fe3,1.415552878,Ni8 Mn4 Ga1 Fe3,9.813052087,27.0625,1.4296875,58.4375,4.5078125,57.90983625,2.260209219,1602.244375,204.0389844,9.0625,1.4296875,4,0,129.125,6.015625,0.046587609,1.79875,0.124375,2,0,0.0625,0.1171875,7,1.375,0,0,9.0625,1.4296875,0,0,0.3125,0.5859375,3,1.375,0,0,3.3125,1.3125,10.9723653,0.985641837,0,0,0.693524155,0.531426992,2918.9375,347.7109375,8166.875,741.125,7.535061313,0.242490695,25.948125,0.318046875,14.9059375,2.5740625,213.6875,18.7109375,1.36875,0.02734375,0.019977169,0.739427083,0.045546875,0.061597521
55,Ni8Mn4Fe4,1.403446213,Ni8 Mn4 Fe4,8.644238489,26.75,1.25,57.25,3.75,57.04246125,1.65093875,1696.5,88.75,8.75,1.25,4,0,129.75,5.75,0.044315992,1.8,0.125,2,0,0,0,6.75,1.25,0,0,8.75,1.25,0,0,0,0,3.25,1.25,0,0,3.25,1.25,10.46439655,0.144396552,0,0,0.82544058,0.64261111,2960,313,8290,618,7.654005,0.1241975,25.89,0.395,15.42,2.06,224,3.5,1.375,0.025,0.018181818,0.745208333,0.053645833,0.071987699
56,Ni8Mn4Ga3Ru1,1.233665069,Ni8 Mn4 Ga3 Ru1,9.813052087,28.8125,2.71875,60.875,5.046875,62.47114875,7.544300625,1463.483125,435.2149219,9.6875,1.5546875,4.0625,0.1171875,128.75,7.28125,0.056553398,1.819375,0.138203125,1.9375,0.1171875,0.1875,0.3046875,7.5625,1.3515625,0,0,9.6875,1.5546875,0.0625,0.1171875,0.9375,1.5234375,2.4375,1.3515625,0,0,3.4375,1.4375,12.1620528,2.679286099,0,0,0.29777488,0.29761982,2917.375,456.828125,8201.625,1227.421875,7.263305188,0.47400157,25.999375,0.242421875,15.4265625,4.948867188,190.875,47.578125,1.35,0.025,0.018518519,0.715895833,0.040643229,0.056772546
57,Ni8Mn4Ga2Ru2,1.314370143,Ni8 Mn4 Ga2 Ru2,10.0849449,29.625,3.9375,59.75,4.8125,64.43033625,10.48308187,1607.48875,370.3890625,9.375,1.53125,4.125,0.21875,130.25,8.3125,0.063819578,1.84375,0.1553125,1.875,0.21875,0.125,0.21875,7.375,1.28125,0,0,9.375,1.53125,0.125,0.21875,0.625,1.09375,2.625,1.28125,0,0,3.375,1.375,11.82783405,2.177957974,0,0,0.29777488,0.29761982,3039,493,8605.75,1243.3125,7.348380125,0.337269781,25.87625,0.4540625,17.489375,5.27515625,199,35,1.35,0.025,0.018518519,0.709708333,0.042864583,0.060397463
58,Ni8Mn4Ga1Ru3,1.373533525,Ni8 Mn4 Ga1 Ru3,9.813052087,30.4375,5.15625,58.625,4.296875,66.38952375,13.42186312,1751.494375,320.8146094,9.0625,1.4296875,4.1875,0.3046875,131.75,8.96875,0.068074004,1.868125,0.166328125,1.8125,0.3046875,0.0625,0.1171875,7.1875,1.1640625,0,0,9.0625,1.4296875,0.1875,0.3046875,0.3125,0.5859375,2.8125,1.1640625,0,0,3.3125,1.3125,11.4936153,1.676629849,0,0,0.29777488,0.29761982,3160.625,498.765625,9009.875,1260.046875,7.433455063,0.206627406,25.753125,0.634921875,19.5521875,7.139179688,207.125,22.8125,1.35,0.025,0.018518519,0.703520833,0.043539062,0.061887381
59,Ni8Mn4Ru4,1.413214106,Ni8 Mn4 Ru4,8.644238489,31.25,6.375,57.5,3.5,68.34871125,16.36064437,1895.5,355.75,8.75,1.25,4.25,0.375,133.25,9.25,0.069418386,1.8925,0.17125,1.75,0.375,0,0,7,1,0,0,8.75,1.25,0.25,0.375,0,0,3,1,0,0,3.25,1.25,11.15939655,1.175301724,0,0,0.29777488,0.29761982,3282.25,570.375,9414,1478,7.51853,0.12127,25.63,0.785,21.615,8.4875,215.25,10.625,1.35,0.025,0.018518519,0.697333333,0.042666667,0.061185469
60,Ni8Mn4Ga3Co1,1.242424906,Ni8 Mn4 Ga3 Co1,9.813052087,27.75,1.46875,61,4.875,59.83759844,3.707025586,1411.045625,415.5508594,9.75,1.46875,4,0,127.5,5.75,0.045098039,1.799375,0.1246875,2,0,0.1875,0.3046875,7.5625,1.3515625,0,0,9.75,1.46875,0,0,0.9375,1.5234375,2.4375,1.3515625,0,0,3.375,1.421875,11.9579903,2.587316137,0,0,0.39455433,0.345079979,2840.9375,389.9453125,7984.75,1037.65625,7.295837063,0.486201023,26.04625,0.160625,14.0271875,3.724414062,190.875,47.578125,1.353125,0.0234375,0.017321016,0.722604167,0.037135417,0.051391092
